Stromtankstellen/NAME/__prefix;Stromtankstellen/NAME/__text;Stromtankstellen/pointProperty/Point/pos/__prefix;Stromtankstellen/pointProperty/Point/pos/__text;Stromtankstellen/pointProperty/Point/_srsName;Stromtankstellen/pointProperty/Point/_srsDimension;Stromtankstellen/pointProperty/Point/__prefix;Stromtankstellen/pointProperty/__prefix;Stromtankstellen/_gml:id;Stromtankstellen/__prefix;__prefix
fme;E-LadeSÄULE Parkbad Eishalle;gml;48.312843 14.297687 0;EPSG:4326;3;gml;gml;ida0be47e9-74c0-4f95-9e67-1cc625e57a2a;fme;gml
fme;E-LadeBOX Parkbad Tiefgarage;gml;48.311954 14.296453 0;EPSG:4326;3;gml;gml;id626d282b-1c3b-4be2-acfa-eb790ca52001;fme;gml
fme;E-LadeBOX Neues Rathaus Tiefgarage;gml;48.309402 14.283058 0;EPSG:4326;3;gml;gml;id0cff245f-e498-4355-a7fd-3ac8d65845ae;fme;gml
fme;E-LadeSÄULE Wiener Str. 151;gml;48.280811 14.309314 0;EPSG:4326;3;gml;gml;idff4d9b55-fe53-4087-a5c0-3779c2364051;fme;gml
fme;E-LadeBOX LINZ AG Center Parkdeck;gml;48.281479 14.309687 0;EPSG:4326;3;gml;gml;id687f36f1-3eb0-4509-860c-5cb658f6b0e8;fme;gml
fme;E-LadeSÄULE Universität Trakt D;gml;48.337486 14.319617 0;EPSG:4326;3;gml;gml;id6cceac72-6fd0-4f2d-bfd6-6db1118f0b9c;fme;gml
fme;E-LadeSÄULE WIFI;gml;48.280216 14.307117 0;EPSG:4326;3;gml;gml;id11d64bad-dea9-4bea-b519-aeff28e161fb;fme;gml
fme;E-LadeSÄULE Hauptbahnhof Radabstellplätze;gml;48.291187 14.290879 0;EPSG:4326;3;gml;gml;idfe4b1029-25bd-4373-b7a5-31ef8628b7c8;fme;gml
fme;E-LadeBOX Hauptbahnhof Fahrradparkfläche;gml;48.291733 14.292387 0;EPSG:4326;3;gml;gml;id2f6d0a75-1cb9-499e-af29-7d112b4ac15e;fme;gml
fme;E-LadeSÄULE PRO Kaufland;gml;48.32333 14.287865 0;EPSG:4326;3;gml;gml;idefb437bb-3aef-4924-82b0-256dc0ebff83;fme;gml
fme;E-LadeSÄULE Universität Science-Park;gml;48.336414 14.322942 0;EPSG:4326;3;gml;gml;idf55c50e2-d172-4d46-bf20-4ed3d6f5be54;fme;gml
fme;E-LadeSÄULE HTL Paul-Hahn;gml;48.306347 14.310492 0;EPSG:4326;3;gml;gml;id725bace9-14b9-44f2-bca2-06bea54c3538;fme;gml
fme;E-LadeSÄULE ARBÖ;gml;48.314682 14.301273 0;EPSG:4326;3;gml;gml;idf584e8a6-4ff6-4f96-9fee-490b553c0e77;fme;gml
fme;E-LadeCENTER Tiefgarage am Bahnhof / LDZ;gml;48.293079 14.29244 0;EPSG:4326;3;gml;gml;idb337d7d8-183c-43f1-b08f-ed679ec8265b;fme;gml
fme;E-LadeBOX Gasthaus Fischerhäusl;gml;48.309071 14.282243 0;EPSG:4326;3;gml;gml;ide5ccc42e-a269-4b48-8a9f-3e41b613f6c4;fme;gml
fme;E-LadeBOX Seerestaurant Kolmer;gml;48.319061 14.330227 0;EPSG:4326;3;gml;gml;id6d249159-e98a-4df2-b213-d86b6005456a;fme;gml
fme;E-LadeBOX Treffpunkt Pühringer;gml;48.311821 14.233282 0;EPSG:4326;3;gml;gml;idee4e2421-0049-4226-becb-e5644e768fef;fme;gml
fme;E-LadeBOX Swingolf Linz;gml;48.325005 14.298497 0;EPSG:4326;3;gml;gml;id80814351-3a89-4887-9b5e-66ab2c9518b8;fme;gml
fme;E-LadeBOX Hotel Goldenes Kreuz;gml;48.227264 14.854648 0;EPSG:4326;3;gml;gml;idd9755622-ec8c-4f1a-9b83-2a56e48b3df6;fme;gml
